"adresse";"lat";"lon";"betalt"
"Åvænget 5, 6823 Ansager";"55,70743357";"8,7498249";"0"
"Allegade 1, 6823 Ansager";"55,70465182";"8,7485663";"0"
"Allegade 2, 6823 Ansager";"55,70462917";"8,7489143";"0"
"Allegade 3, 6823 Ansager";"55,7048315";"8,74864185";"0"
"Allegade 4, 6823 Ansager";"55,70478352";"8,74899543";"0"
"Allegade 5, 6823 Ansager";"55,70495082";"8,74868119";"0"
"Allegade 6A, 6823 Ansager";"55,70491768";"8,74899982";"0"
"Allegade 7, 6823 Ansager";"55,70500279";"8,7486974";"0"
"Allegade 8, 6823 Ansager";"55,70503169";"8,74903266";"0"
"Allegade 10, 6823 Ansager";"55,70515459";"8,74906641";"0"
"Allegade 11, 6823 Ansager";"55,70555069";"8,74885986";"0"
"Allegade 12, 6823 Ansager";"55,70540031";"8,74918307";"0"
"Allegade 13, 6823 Ansager";"55,70571102";"8,74878818";"0"
"Allegade 14, 6823 Ansager";"55,70564488";"8,74922144";"0"
"Allegade 15, 6823 Ansager";"55,70585848";"8,74892425";"0"
"Ansagervej 3, kl., Skovlund, 6823 Ansager";"55,73706497";"8,70872608";"0"
"Ansagervej 3, st., Skovlund, 6823 Ansager";"55,73706497";"8,70872608";"0"
"Ansagervej 3, 1., Skovlund, 6823 Ansager";"55,73706497";"8,70872608";"0"
"Ansagervej 4, Skovlund, 6823 Ansager";"55,73706862";"8,70833284";"0"
"Ansagervej 5, Skovlund, 6823 Ansager";"55,73691324";"8,70889284";"0"
"Ansagervej 6, Skovlund, 6823 Ansager";"55,73695129";"8,70841908";"0"
"Ansagervej 7, Skovlund, 6823 Ansager";"55,73668271";"8,70906003";"0"
"Ansagervej 8, Skovlund, 6823 Ansager";"55,73676342";"8,70857528";"0"
"Ansagervej 9, Skovlund, 6823 Ansager";"55,73658364";"8,70914931";"0"
"Ansagervej 10, Skovlund, 6823 Ansager";"55,73663903";"8,7086751";"0"
"Ansagervej 11, Skovlund, 6823 Ansager";"55,7363857";"8,7093051";"0"
"Ansagervej 13, Skovlund, 6823 Ansager";"55,73628857";"8,70938386";"0"
"Ansagervej 14, Skovlund, 6823 Ansager";"55,73649069";"8,70879294";"0"
"Ansagervej 15, Skovlund, 6823 Ansager";"55,73618145";"8,7094517";"0"
"Ansagervej 16, Skovlund, 6823 Ansager";"55,73620639";"8,70871511";"0"
"Ansagervej 17, Skovlund, 6823 Ansager";"55,73600373";"8,70979909";"0"
"Ansagervej 18, Skovlund, 6823 Ansager";"55,73616533";"8,70901849";"0"
"Ansagervej 19, Skovlund, 6823 Ansager";"55,73574757";"8,71022222";"0"
"Ansagervej 20, Skovlund, 6823 Ansager";"55,73603422";"8,70912951";"0"
"Ansagervej 22, Skovlund, 6823 Ansager";"55,73586012";"8,7091824";"0"
"Ansagervej 23, Skovlund, 6823 Ansager";"55,73017612";"8,7158519";"0"
"Ansagervej 24, Skovlund, 6823 Ansager";"55,73570176";"8,70928072";"0"
"Ansagervej 25, Skovlund, 6823 Ansager";"55,72715735";"8,7225972";"0"
"Ansagervej 26, Skovlund, 6823 Ansager";"55,73552858";"8,70953188";"0"
"Ansagervej 28, Skovlund, 6823 Ansager";"55,73373727";"8,71102427";"0"
"Ansagervej 30, Skovlund, 6823 Ansager";"55,72664094";"8,72266821";"0"
"Bakkegårdsvej 1, 6823 Ansager";"55,70627477";"8,75246408";"0"
"Bakkegårdsvej 2, 6823 Ansager";"55,70560691";"8,75265385";"0"
"Bakkegårdsvej 4, 6823 Ansager";"55,7058211";"8,75268543";"0"
"Bjælkager 2, Skovlund, 6823 Ansager";"55,7362804";"8,70531188";"0"
"Bjælkager 8, Skovlund, 6823 Ansager";"55,73661313";"8,70393019";"0"
"Borgergade 2A, st., Skovlund, 6823 Ansager";"55,73775859";"8,70779591";"0"
"Borgergade 2A, 1., Skovlund, 6823 Ansager";"55,73775859";"8,70779591";"0"
"Borgergade 2B, st., Skovlund, 6823 Ansager";"55,73779529";"8,70781523";"0"
"Borgergade 2B, 1., Skovlund, 6823 Ansager";"55,73779529";"8,70781523";"0"
"Borgergade 2C, st., Skovlund, 6823 Ansager";"55,73777037";"8,70772384";"0"
"Borgergade 2C, 1., Skovlund, 6823 Ansager";"55,73777037";"8,70772384";"0"
"Borgergade 2D, st., Skovlund, 6823 Ansager";"55,73780393";"8,70766785";"0"
"Borgergade 2D, 1., Skovlund, 6823 Ansager";"55,73780393";"8,70766785";"0"
"Borgergade 4A, st., Skovlund, 6823 Ansager";"55,73778534";"8,70756112";"0"
"Borgergade 4A, 1., Skovlund, 6823 Ansager";"55,73778534";"8,70756112";"0"
"Borgergade 4B, st., Skovlund, 6823 Ansager";"55,7378189";"8,70757918";"0"
"Borgergade 4B, 1., Skovlund, 6823 Ansager";"55,7378189";"8,70757918";"0"
"Borgergade 5, Skovlund, 6823 Ansager";"55,73766095";"8,70720769";"0"
"Borgergade 6A, st., Skovlund, 6823 Ansager";"55,7377918";"8,70736725";"0"
"Borgergade 6A, 1., Skovlund, 6823 Ansager";"55,7377918";"8,70736725";"0"
"Borgergade 6B, st., Skovlund, 6823 Ansager";"55,73782953";"8,70740089";"0"
"Borgergade 6B, 1., Skovlund, 6823 Ansager";"55,73782953";"8,70740089";"0"
"Borgergade 7, Skovlund, 6823 Ansager";"55,73768229";"8,70688566";"0"
"Borgergade 8, Skovlund, 6823 Ansager";"55,73780444";"8,70709004";"0"
"Borgergade 9, Skovlund, 6823 Ansager";"55,7376968";"8,70667962";"0"
"Borgergade 10, Skovlund, 6823 Ansager";"55,7378191";"8,70683303";"0"
"Borgergade 11, Skovlund, 6823 Ansager";"55,73770993";"8,70649685";"0"
"Borgergade 12, st. th, Skovlund, 6823 Ansager";"55,73784314";"8,70655";"0"
"Borgergade 12, st. tv, Skovlund, 6823 Ansager";"55,73784314";"8,70655";"0"
"Borgergade 12, 1. th, Skovlund, 6823 Ansager";"55,73784314";"8,70655";"0"
"Borgergade 12, 1. tv, Skovlund, 6823 Ansager";"55,73784314";"8,70655";"0"
"Borgergade 13, Skovlund, 6823 Ansager";"55,73771941";"8,70632478";"0"
"Borgergade 14, Skovlund, 6823 Ansager";"55,73787254";"8,70618172";"0"
"Borgergade 15, st., Skovlund, 6823 Ansager";"55,73773562";"8,70619167";"0"
"Borgergade 15, 1. mf, Skovlund, 6823 Ansager";"55,73773562";"8,70619167";"0"
"Borgergade 15, 1. th, Skovlund, 6823 Ansager";"55,73773562";"8,70619167";"0"
"Borgergade 17, st., Skovlund, 6823 Ansager";"55,73774812";"8,70593389";"0"
"Borgergade 17, 1., Skovlund, 6823 Ansager";"55,73774812";"8,70593389";"0"
"Borgergade 18, Skovlund, 6823 Ansager";"55,73798574";"8,70571284";"0"
"Borgergade 21, Skovlund, 6823 Ansager";"55,73777596";"8,70554954";"0"
"Borgergade 22, Skovlund, 6823 Ansager";"55,73801426";"8,70431902";"0"
"Borgergade 23A, Skovlund, 6823 Ansager";"55,73779429";"8,70536115";"0"
"Borgergade 23B, Skovlund, 6823 Ansager";"55,73762295";"8,70503054";"0"
"Borgergade 24A, Skovlund, 6823 Ansager";"55,7381689";"8,70331416";"0"
"Borgergade 24B, Skovlund, 6823 Ansager";"55,73818461";"8,70312086";"0"
"Borgergade 24C, Skovlund, 6823 Ansager";"55,73821342";"8,70332911";"0"
"Borgergade 24D, Skovlund, 6823 Ansager";"55,73831533";"8,70296538";"0"
"Borgergade 24E, Skovlund, 6823 Ansager";"55,73837533";"8,70295552";"0"
"Borgergade 24F, Skovlund, 6823 Ansager";"55,73843639";"8,7029772";"0"
"Borgergade 24G, Skovlund, 6823 Ansager";"55,73842359";"8,70318131";"0"
"Borgergade 24H, Skovlund, 6823 Ansager";"55,73837047";"8,70317455";"0"
"Borgergade 24, kl., Skovlund, 6823 Ansager";"55,73822058";"8,70309399";"0"
"Borgergade 24, st., Skovlund, 6823 Ansager";"55,73822058";"8,70309399";"0"
"Borgergade 24, 1., Skovlund, 6823 Ansager";"55,73822058";"8,70309399";"0"
"Borgergade 25, Skovlund, 6823 Ansager";"55,73780922";"8,70510669";"0"
"Borgergade 27, Skovlund, 6823 Ansager";"55,73783013";"8,70468337";"0"
"Borgergade 28, Skovlund, 6823 Ansager";"55,73818198";"8,70255262";"0"
"Borgergade 29, Skovlund, 6823 Ansager";"55,73777802";"8,70431364";"0"
"Borgergade 31, Skovlund, 6823 Ansager";"55,73778534";"8,70403025";"0"
"Borgergade 33, Skovlund, 6823 Ansager";"55,73789045";"8,70383659";"0"
"Borgergade 35, Skovlund, 6823 Ansager";"55,73783518";"8,70327417";"0"
"Borgergade 37, Skovlund, 6823 Ansager";"55,73728704";"8,70236815";"0"
"Borgergade 38, Skovlund, 6823 Ansager";"55,7383513";"8,70009052";"0"
"Borgergade 41, Skovlund, 6823 Ansager";"55,73793728";"8,70224407";"0"
"Borgergade 51, Skovlund, 6823 Ansager";"55,73819952";"8,69704383";"0"
"Bygvænget 1, Skovlund, 6823 Ansager";"55,73827133";"8,70141972";"0"
"Bygvænget 2, Skovlund, 6823 Ansager";"55,73822346";"8,70198452";"0"
"Bygvænget 4, Skovlund, 6823 Ansager";"55,73862319";"8,70200871";"0"
"Doktorvej 1A, 6823 Ansager";"55,70573803";"8,75195283";"0"
"Doktorvej 1B, 6823 Ansager";"55,70577604";"8,75212923";"0"
"Doktorvej 1C, 6823 Ansager";"55,70578148";"8,75193426";"0"
"Doktorvej 1D, 6823 Ansager";"55,70581426";"8,75210082";"0"
"Doktorvej 2A, 6823 Ansager";"55,70561118";"8,75200854";"0"
"Doktorvej 2B, 1., 6823 Ansager";"55,7056285";"8,75208656";"0"
"Doktorvej 3, 6823 Ansager";"55,70580124";"8,75232958";"0"
"Doktorvej 4, 6823 Ansager";"55,70568269";"8,75231378";"0"
"Doktorvej 4, 1., 6823 Ansager";"55,70568269";"8,75231378";"0"
"Egedalen 1, 6823 Ansager";"55,70002834";"8,75594382";"0"
"Egedalen 2, 6823 Ansager";"55,69976654";"8,75641403";"0"
"Egedalen 3, 6823 Ansager";"55,70007163";"8,75552605";"0"
"Egedalen 4, 6823 Ansager";"55,69961203";"8,75684346";"0"
"Egedalen 6, 6823 Ansager";"55,69941605";"8,75720203";"0"
"Egedalen 7, 6823 Ansager";"55,70023937";"8,75520439";"0"
"Egedalen 9, 6823 Ansager";"55,70036778";"8,75565737";"0"
"Egedalen 11, 6823 Ansager";"55,70028163";"8,75598266";"0"
"Egedalen 15, 6823 Ansager";"55,69997723";"8,75672234";"0"
"Egedalen 17, 6823 Ansager";"55,69980805";"8,75695458";"0"
"Egedalen 33, 6823 Ansager";"55,69950945";"8,76005489";"0"
"Egedalen 39, 6823 Ansager";"55,69952835";"8,76303517";"0"
"Eghøjvej 1, 6823 Ansager";"55,70866988";"8,74437028";"0"
"Eghøjvej 3, 6823 Ansager";"55,71262015";"8,73925023";"0"
"Eghøjvej 4, 6823 Ansager";"55,71497971";"8,73017884";"0"
"Eghøjvej 5, 6823 Ansager";"55,71288076";"8,73690531";"0"
"Eghøjvej 7, 6823 Ansager";"55,71381732";"8,73357485";"0"
"Eghøjvej 9, 6823 Ansager";"55,71107384";"8,72898934";"0"
"Fårholtvej 1, 6823 Ansager";"55,74345271";"8,76221937";"0"
"Fårholtvej 2, 6823 Ansager";"55,7404943";"8,78022863";"0"
"Fårholtvej 3, 6823 Ansager";"55,75317302";"8,76860178";"0"
"Fårholtvej 4, 6823 Ansager";"55,73615464";"8,79263502";"0"
"Fårholtvej 5, 6823 Ansager";"55,74231779";"8,77064174";"0"
"Fårholtvej 7, 6823 Ansager";"55,74268518";"8,77677963";"0"
"Fårholtvej 9, 6823 Ansager";"55,74262083";"8,77940609";"0"
"Fårholtvej 11, 6823 Ansager";"55,73890742";"8,78496349";"0"
"Fårholtvej 13, 6823 Ansager";"55,73767332";"8,78981854";"0"
"Fiskerivej 1A, 6823 Ansager";"55,70243077";"8,76342718";"0"
"Fiskerivej 1B, 6823 Ansager";"55,70250919";"8,76346219";"0"
"Fiskerivej 2A, 6823 Ansager";"55,7019919";"8,76239541";"0"
"Fiskerivej 2B, 6823 Ansager";"55,70205233";"8,76241859";"0"
"Fiskerivej 3A, 6823 Ansager";"55,70237435";"8,76315129";"0"
"Fiskerivej 3B, 6823 Ansager";"55,70235334";"8,76330211";"0"
"Fiskerivej 3C, 6823 Ansager";"55,7023282";"8,76345262";"0"
"Fiskerivej 4A, 6823 Ansager";"55,70189313";"8,76215145";"0"
"Fiskerivej 4B, 6823 Ansager";"55,70187489";"8,76229031";"0"
"Fiskerivej 4C, 6823 Ansager";"55,70185461";"8,76244175";"0"
"Fiskerivej 5A, 6823 Ansager";"55,7020961";"8,76316618";"0"
"Fiskerivej 5B, 6823 Ansager";"55,70204901";"8,76321182";"0"
"Fiskerivej 5C, 6823 Ansager";"55,70202352";"8,76313432";"0"
"Fiskerivej 5D, 6823 Ansager";"55,70195728";"8,76316845";"0"
"Fiskerivej 5E, 6823 Ansager";"55,7019333";"8,76312961";"0"
"Fiskerivej 6A, 6823 Ansager";"55,70159426";"8,76223473";"0"
"Fiskerivej 6B, 6823 Ansager";"55,70168346";"8,76227031";"0"
"Fiskerivej 7A, 6823 Ansager";"55,70181363";"8,76295213";"0"
"Fiskerivej 7B, 6823 Ansager";"55,70179108";"8,76313907";"0"
"Fiskerivej 8A, 6823 Ansager";"55,7014669";"8,76198537";"0"
"Fiskerivej 8B, 6823 Ansager";"55,70144562";"8,76213157";"0"
"Fiskerivej 8C, 6823 Ansager";"55,70142757";"8,76227504";"0"
"Fiskerivej 9A, 6823 Ansager";"55,70161744";"8,76298052";"0"
"Fiskerivej 9B, 6823 Ansager";"55,70150756";"8,76293982";"0"
"Fiskerivej 10, 6823 Ansager";"55,70117556";"8,76224411";"0"
"Fredensalle 1, Skovlund, 6823 Ansager";"55,73806924";"8,71138373";"0"
"Fredensalle 2, Skovlund, 6823 Ansager";"55,73755933";"8,71153911";"0"
"Fredensalle 3, Skovlund, 6823 Ansager";"55,73814341";"8,71174312";"0"
"Fredensalle 4, Skovlund, 6823 Ansager";"55,73784626";"8,71151231";"0"
"Fredensalle 5, Skovlund, 6823 Ansager";"55,7380434";"8,71205076";"0"
"Fredensalle 6, Skovlund, 6823 Ansager";"55,73783721";"8,71190496";"0"
"Fredensgade 1, Skovlund, 6823 Ansager";"55,73851433";"8,7107144";"0"
"Fredensgade 2, Skovlund, 6823 Ansager";"55,73853384";"8,71037661";"0"
"Fredensgade 3, Skovlund, 6823 Ansager";"55,73838775";"8,71064717";"0"
"Fredensgade 5, Skovlund, 6823 Ansager";"55,73823299";"8,71067252";"0"
"Fredensgade 6, Skovlund, 6823 Ansager";"55,73825034";"8,71036835";"0"
"Fredensgade 7, Skovlund, 6823 Ansager";"55,73808389";"8,7106577";"0"
"Fredensgade 8, Skovlund, 6823 Ansager";"55,73810729";"8,71025315";"0"
"Fredensgade 9, Skovlund, 6823 Ansager";"55,73788873";"8,71061916";"0"
"Fredensgade 10, Skovlund, 6823 Ansager";"55,73795913";"8,7103737";"0"
"Fredensgade 11, Skovlund, 6823 Ansager";"55,73767603";"8,7106123";"0"
"Fredensgade 12, Skovlund, 6823 Ansager";"55,73780184";"8,71031673";"0"
"Fredensgade 13, Skovlund, 6823 Ansager";"55,7375096";"8,71060604";"0"
"Frifeltvej 5, Skovlund, 6823 Ansager";"55,7721678";"8,73746734";"0"
"Frifeltvej 7, Skovlund, 6823 Ansager";"55,7562838";"8,72836762";"0"
"Frifeltvej 12, Skovlund, 6823 Ansager";"55,77162123";"8,73135846";"0"
"Frifeltvej 14, Skovlund, 6823 Ansager";"55,75565396";"8,7272047";"0"
"Fuglebakken 1, 6823 Ansager";"55,70889541";"8,75013449";"0"
"Fuglebakken 2A, 6823 Ansager";"55,70936686";"8,74972947";"0"
"Fuglebakken 3, 6823 Ansager";"55,70894059";"8,74986174";"0"
"Fuglebakken 4, 6823 Ansager";"55,70936321";"8,74921545";"0"
"Fuglebakken 5, 6823 Ansager";"55,70910062";"8,74955357";"0"
"Fuglebakken 6, 6823 Ansager";"55,70943336";"8,74867645";"0"
"Fuglebakken 7, 6823 Ansager";"55,70911265";"8,74924077";"0"
"Fuglebakken 9, 6823 Ansager";"55,70911847";"8,74900742";"0"
"Fuglebakken 11, 6823 Ansager";"55,70913104";"8,74869701";"0"
"Fuglebakken 13, 6823 Ansager";"55,70912077";"8,74837576";"0"
"Gårdevej 18, 6823 Ansager";"55,75107752";"8,66521658";"0"
"Usnapvej 4, 1, 6823 Ansager";"55,74561202";"8,67972405";"0"
"Gårdevej 21A, 6823 Ansager";"55,75481864";"8,66366148";"0"
